"REF_DATE","GEO","DGUID","Type of fuel","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-05","Edmonton, Alberta","2011S0503835","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735086","14.2","163.3","","","","1"
"2022-06","Edmonton, Alberta","2011S0503835","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735086","14.2","186.0","","","","1"
"2022-07","Edmonton, Alberta","2011S0503835","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735086","14.2","179.1","","","","1"
"2022-08","Edmonton, Alberta","2011S0503835","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735086","14.2","147.3","","","","1"
"2022-09","Edmonton, Alberta","2011S0503835","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735086","14.2","136.8","","","","1"
"2022-05","Calgary, Alberta","2011S0503825","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735087","15.2","167.4","","","","1"
"2022-06","Calgary, Alberta","2011S0503825","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735087","15.2","189.5","","","","1"
"2022-07","Calgary, Alberta","2011S0503825","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735087","15.2","183.1","","","","1"
"2022-08","Calgary, Alberta","2011S0503825","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735087","15.2","153.0","","","","1"
"2022-09","Calgary, Alberta","2011S0503825","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735087","15.2","144.2","","","","1"
"2022-05","Vancouver, British Columbia","2011S0503933","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735088","16.2","220.1","","","","1"
"2022-06","Vancouver, British Columbia","2011S0503933","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735088","16.2","225.4","","","","1"
"2022-07","Vancouver, British Columbia","2011S0503933","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735088","16.2","202.4","","","","1"
"2022-08","Vancouver, British Columbia","2011S0503933","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735088","16.2","193.2","","","","1"
"2022-09","Vancouver, British Columbia","2011S0503933","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735088","16.2","205.7","","","","1"
"2022-05","Victoria, British Columbia","2011S0503935","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735089","17.2","217.4","","","","1"
"2022-06","Victoria, British Columbia","2011S0503935","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735089","17.2","225.2","","","","1"
"2022-07","Victoria, British Columbia","2011S0503935","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735089","17.2","203.0","","","","1"
"2022-08","Victoria, British Columbia","2011S0503935","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735089","17.2","189.0","","","","1"
"2022-09","Victoria, British Columbia","2011S0503935","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735089","17.2","196.5","","","","1"
"2022-05","Whitehorse, Yukon","2011A00056001009","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735090","18.2","202.2","","","","1"
"2022-06","Whitehorse, Yukon","2011A00056001009","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735090","18.2","217.1","","","","1"
"2022-07","Whitehorse, Yukon","2011A00056001009","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735090","18.2","208.5","","","","1"
"2022-08","Whitehorse, Yukon","2011A00056001009","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735090","18.2","186.6","","","","1"
"2022-09","Whitehorse, Yukon","2011A00056001009","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735090","18.2","186.2","","","","1"
"2022-05","Yellowknife, Northwest Territories","2011A00056106023","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735091","19.2","187.0","","","","1"
"2022-06","Yellowknife, Northwest Territories","2011A00056106023","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735091","19.2","208.1","","","","1"
"2022-07","Yellowknife, Northwest Territories","2011A00056106023","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735091","19.2","200.0","","","","1"
"2022-08","Yellowknife, Northwest Territories","2011A00056106023","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735091","19.2","177.1","","","","1"
"2022-09","Yellowknife, Northwest Territories","2011A00056106023","Regular unleaded gasoline at self service filling stations","Cents per litre","57","units","0","v735091","19.2","173.9","","","","1"


